ind	reg	sex	chrom	nonEnrCG	nonEnrnonCG	EnrCG	EnrnonCG
S_Abkhasian-1	WestEurasia	M	1	169	1809	0	7
S_Abkhasian-2	WestEurasia	M	1	162	1829	1	12
S_Adygei-1	WestEurasia	M	1	183	2042	0	12
S_Adygei-2	WestEurasia	F	1	209	2036	0	11
S_Albanian-1	WestEurasia	F	1	177	1848	2	6
S_Aleut-1	CentralAsiaSiberia	M	1	178	1796	0	8
S_Aleut-2	CentralAsiaSiberia	F	1	160	1938	1	15
S_Altaian-1	CentralAsiaSiberia	M	1	153	1927	0	16
S_Ami-1	EastAsia	M	1	149	1936	0	11
S_Ami-2	EastAsia	M	1	169	1896	0	9
S_Armenian-1	WestEurasia	M	1	170	1886	0	12
S_Armenian-2	WestEurasia	M	1	172	1927	2	10
S_Atayal-1	EastAsia	M	1	142	1749	2	11
S_Balochi-1	SouthAsia	M	1	183	1965	0	6
S_Balochi-2	SouthAsia	M	1	194	1985	1	12
S_Basque-1	WestEurasia	M	1	156	1925	0	5
S_Basque-2	WestEurasia	F	1	176	2101	2	8
S_BedouinB-1	WestEurasia	M	1	201	1985	1	15
S_BedouinB-2	WestEurasia	F	1	191	1937	1	12
S_Bengali-1	SouthAsia	M	1	192	2104	0	5
S_Bengali-2	SouthAsia	F	1	183	1998	0	9
S_Bergamo-1	WestEurasia	M	1	171	1925	1	6
S_Bergamo-2	WestEurasia	F	1	177	2017	0	9
S_Brahmin-1	SouthAsia	M	1	173	2057	0	9
S_Brahmin-2	SouthAsia	M	1	192	1893	0	7
S_Brahui-1	SouthAsia	M	1	160	1794	0	7
S_Brahui-2	SouthAsia	M	1	188	2107	1	10
S_Bulgarian-1	WestEurasia	M	1	194	1991	0	9
S_Bulgarian-2	WestEurasia	M	1	215	2009	1	9
S_Burmese-1	EastAsia	M	1	194	1904	1	11
S_Burmese-2	EastAsia	M	1	169	1889	1	12
S_Burusho-1	SouthAsia	M	1	164	1956	0	8
S_Burusho-2	SouthAsia	F	1	176	1884	2	6
S_Cambodian-1	EastAsia	M	1	165	1881	1	7
S_Cambodian-2	EastAsia	F	1	169	1998	2	8
S_Chane-1	America	M	1	202	1888	0	13
S_Chechen-1	WestEurasia	M	1	157	1897	0	12
S_Chukchi-1	CentralAsiaSiberia	M	1	158	1854	1	12
S_Czech-2	WestEurasia	M	1	186	1864	0	12
S_Dai-1	EastAsia	F	1	160	1894	1	11
S_Dai-2	EastAsia	M	1	164	1925	0	12
S_Dai-3	EastAsia	F	1	191	1892	0	11
S_Daur-2	EastAsia	F	1	174	1794	2	11
S_Druze-1	WestEurasia	F	1	188	2123	2	3
S_Druze-2	WestEurasia	M	1	190	2028	1	14
S_English-1	WestEurasia	M	1	183	2110	2	16
S_English-2	WestEurasia	F	1	194	1930	0	8
S_Eskimo_Chaplin-1	CentralAsiaSiberia	M	1	148	1862	2	13
S_Eskimo_Naukan-1	CentralAsiaSiberia	F	1	146	1882	0	12
S_Eskimo_Naukan-2	CentralAsiaSiberia	F	1	160	1801	2	14
S_Eskimo_Sireniki-1	CentralAsiaSiberia	M	1	161	1893	0	14
S_Eskimo_Sireniki-2	CentralAsiaSiberia	F	1	171	1842	2	14
S_Estonian-1	WestEurasia	M	1	196	2027	0	10
S_Estonian-2	WestEurasia	M	1	179	1870	0	10
S_Even-1	CentralAsiaSiberia	F	1	173	1869	0	8
S_Even-2	CentralAsiaSiberia	M	1	168	1793	1	13
S_Even-3	CentralAsiaSiberia	F	1	174	1869	1	10
S_Finnish-1	WestEurasia	F	1	170	1900	1	13
S_Finnish-2	WestEurasia	M	1	195	2078	2	14
S_Finnish-3	WestEurasia	M	1	180	2033	1	8
S_French-1	WestEurasia	M	1	187	1901	1	8
S_French-2	WestEurasia	F	1	179	1966	1	8
S_Georgian-1	WestEurasia	M	1	205	1949	1	6
S_Georgian-2	WestEurasia	M	1	187	1876	0	22
S_Greek-1	WestEurasia	M	1	189	1885	1	6
S_Greek-2	WestEurasia	M	1	194	1954	1	14
S_Han-1	EastAsia	F	1	181	1853	0	11
S_Han-2	EastAsia	M	1	172	1865	0	12
S_Hazara-1	SouthAsia	M	1	181	2107	1	14
S_Hazara-2	SouthAsia	M	1	184	1984	0	9
S_Hezhen-1	EastAsia	M	1	184	1829	1	9
S_Hezhen-2	EastAsia	F	1	159	1895	0	8
S_Hungarian-1	WestEurasia	F	1	168	1809	1	11
S_Hungarian-2	WestEurasia	M	1	189	2000	0	9
S_Icelandic-1	WestEurasia	F	1	188	1935	0	11
S_Icelandic-2	WestEurasia	F	1	176	1943	1	9
S_Iranian-1	WestEurasia	M	1	189	1994	1	13
S_Iranian-2	WestEurasia	M	1	184	2133	2	7
S_Iraqi_Jew-1	WestEurasia	F	1	184	1940	1	12
S_Iraqi_Jew-2	WestEurasia	M	1	209	1937	0	3
S_Irula-1	SouthAsia	M	1	172	1867	1	6
S_Irula-2	SouthAsia	M	1	176	2010	0	9
S_Itelman-1	CentralAsiaSiberia	F	1	164	2111	2	14
S_Japanese-1	EastAsia	M	1	166	1846	1	12
S_Japanese-2	EastAsia	F	1	159	1836	0	12
S_Japanese-3	EastAsia	M	1	173	1868	1	9
S_Jordanian-1	WestEurasia	M	1	167	1899	1	10
S_Jordanian-2	WestEurasia	M	1	191	1970	0	9
S_Jordanian-3	WestEurasia	M	1	175	1858	1	5
S_Kalash-1	SouthAsia	M	1	176	1914	4	16
S_Kalash-2	SouthAsia	F	1	171	1919	2	13
S_Kapu-1	SouthAsia	M	1	179	1985	0	8
S_Kapu-2	SouthAsia	M	1	200	1965	1	16
S_Karitiana-1	America	M	1	181	2029	0	9
S_Karitiana-2	America	F	1	184	2038	0	9
