scenario	iteration	pop	ind	time	mean_len	total_seq	n_frag
OneGeneFlow	0	EA	0	0	99941.95519348269	98143000	982
OneGeneFlow	0	EA	1	0	102401.78571428571	103221000	1008
OneGeneFlow	0	EA	2	0	110758.44930417495	111423000	1006
OneGeneFlow	0	EA	3	0	103786.14457831325	103371000	996
OneGeneFlow	0	EA	4	0	101991.16781157997	103929000	1019
OneGeneFlow	0	EA	5	0	105717.69383697813	106352000	1006
OneGeneFlow	0	EA	6	0	101380.081300813	99758000	984
OneGeneFlow	0	EA	7	0	101292.70729270729	101394000	1001
OneGeneFlow	0	EA	8	0	96673.30677290837	97060000	1004
OneGeneFlow	0	EA	9	0	103750.72463768115	107382000	1035
OneGeneFlow	0	EA	10	0	95985.67335243554	100497000	1047
OneGeneFlow	0	EA	11	0	100951.51515151515	99942000	990
OneGeneFlow	0	EA	12	0	101705.20833333333	97637000	960
OneGeneFlow	0	EA	13	0	104143.89233954452	100603000	966
OneGeneFlow	0	EA	14	0	100563.54679802955	102072000	1015
OneGeneFlow	0	EA	15	0	103540.40404040404	102505000	990
OneGeneFlow	0	EA	16	0	97644.73684210527	96473000	988
OneGeneFlow	0	EA	17	0	98735.64356435643	99723000	1010
OneGeneFlow	0	EA	18	0	106424.42442442442	106318000	999
OneGeneFlow	0	EA	19	0	98924.78302796528	102585000	1037
OneGeneFlow	0	EA	20	0	105675.05241090147	100814000	954
OneGeneFlow	0	EA	21	0	106186.17021276595	99815000	940
OneGeneFlow	0	EA	22	0	105649.89517819707	100790000	954
OneGeneFlow	0	EA	23	0	104546.55870445345	103292000	988
OneGeneFlow	0	EA	24	0	107209.69441517387	101742000	949
OneGeneFlow	0	EA	25	0	100957.05521472392	98736000	978
OneGeneFlow	0	EA	26	0	102505.97609561753	102916000	1004
OneGeneFlow	0	EA	27	0	103701.82555780934	102250000	986
OneGeneFlow	0	EA	28	0	104212.39837398374	102545000	984
OneGeneFlow	0	EA	29	0	94892.10789210789	94987000	1001
OneGeneFlow	0	EA	30	0	93046.6472303207	95745000	1029
OneGeneFlow	0	EA	31	0	91144.80077745384	93788000	1029
OneGeneFlow	0	EA	32	0	97230.18147086915	101800000	1047
OneGeneFlow	0	EA	33	0	95689.48412698413	96455000	1008
OneGeneFlow	0	EA	34	0	102061.63021868787	102674000	1006
OneGeneFlow	0	EA	35	0	96747.99196787148	96361000	996
OneGeneFlow	0	EA	36	0	103194.76439790576	98551000	955
OneGeneFlow	0	EA	37	0	109406.76229508196	106781000	976
OneGeneFlow	0	EA	38	0	96600.0	100947000	1045
OneGeneFlow	0	EA	39	0	103271.69421487603	99967000	968
OneGeneFlow	0	EA	40	0	96514.59143968871	99217000	1028
OneGeneFlow	0	EA	41	0	103416.83168316832	104451000	1010
OneGeneFlow	0	EA	42	0	96563.27307326355	101488000	1051
OneGeneFlow	0	EA	43	0	96512.00768491835	100469000	1041
OneGeneFlow	0	EA	44	0	100035.8606557377	97635000	976
OneGeneFlow	0	EA	45	0	102528.8844621514	102939000	1004
OneGeneFlow	0	EA	46	0	100358.34155972359	101663000	1013
OneGeneFlow	0	EA	47	0	94044.44444444444	101568000	1080
OneGeneFlow	0	EA	48	0	105485.0	105485000	1000
OneGeneFlow	0	EA	49	0	99654.34565434566	99754000	1001
OneGeneFlow	0	WE	0	0	113708.3775185578	107227000	943
OneGeneFlow	0	WE	1	0	109966.29213483146	107657000	979
OneGeneFlow	0	WE	2	0	109148.14814814815	106092000	972
OneGeneFlow	0	WE	3	0	101890.79878665319	100770000	989
OneGeneFlow	0	WE	4	0	101254.7263681592	101761000	1005
OneGeneFlow	0	WE	5	0	104560.20408163265	102469000	980
OneGeneFlow	0	WE	6	0	98674.51381780962	96405000	977
OneGeneFlow	0	WE	7	0	96275.1677852349	100415000	1043
OneGeneFlow	0	WE	8	0	105947.261663286	104464000	986
OneGeneFlow	0	WE	9	0	117624.25447316104	118330000	1006
OneGeneFlow	0	WE	10	0	102888.88888888889	107416000	1044
OneGeneFlow	0	WE	11	0	106383.38338338338	106277000	999
OneGeneFlow	0	WE	12	0	104642.93304994686	98469000	941
OneGeneFlow	0	WE	13	0	101648.596321394	105003000	1033
OneGeneFlow	0	WE	14	0	101711.49897330595	99067000	974
OneGeneFlow	0	WE	15	0	93661.72106824926	94692000	1011
OneGeneFlow	0	WE	16	0	111816.07929515418	101529000	908
OneGeneFlow	0	WE	17	0	112597.01492537314	105616000	938
OneGeneFlow	0	WE	18	0	105734.18972332016	107003000	1012
OneGeneFlow	0	WE	19	0	103758.73015873016	98052000	945
OneGeneFlow	0	WE	20	0	115012.13346814965	113747000	989
OneGeneFlow	0	WE	21	0	102000.0	106284000	1042
OneGeneFlow	0	WE	22	0	103358.87096774194	102532000	992
OneGeneFlow	0	WE	23	0	110947.87234042553	104291000	940
OneGeneFlow	0	WE	24	0	105116.5452653486	101017000	961
OneGeneFlow	0	WE	25	0	104978.76857749469	98890000	942
OneGeneFlow	0	WE	26	0	99420.95053346266	102503000	1031
OneGeneFlow	0	WE	27	0	101039.66597077245	96796000	958
OneGeneFlow	0	WE	28	0	98359.32872655478	99638000	1013
OneGeneFlow	0	WE	29	0	105769.14778856527	98048000	927
OneGeneFlow	0	WE	30	0	104137.38959764475	106116000	1019
OneGeneFlow	0	WE	31	0	97357.76277724204	100960000	1037
OneGeneFlow	0	WE	32	0	99592.36947791165	99194000	996
OneGeneFlow	0	WE	33	0	97151.16279069768	100260000	1032
OneGeneFlow	0	WE	34	0	93687.32125834128	98278000	1049
OneGeneFlow	0	WE	35	0	101013.15789473684	99801000	988
OneGeneFlow	0	WE	36	0	98625.25050100201	98428000	998
OneGeneFlow	0	WE	37	0	100988.44537815126	96141000	952
OneGeneFlow	0	WE	38	0	96829.47976878613	100509000	1038
OneGeneFlow	0	WE	39	0	94339.62264150943	100000000	1060
OneGeneFlow	0	WE	40	0	108779.2472024415	106930000	983
OneGeneFlow	0	WE	41	0	103027.4949083503	101173000	982
OneGeneFlow	0	WE	42	0	106475.39267015707	101684000	955
OneGeneFlow	0	WE	43	0	105926.04501607717	98829000	933
OneGeneFlow	0	WE	44	0	99193.45238095238	99987000	1008
OneGeneFlow	0	WE	45	0	104973.50993377484	110957000	1057
OneGeneFlow	0	WE	46	0	102116.92307692308	99564000	975
OneGeneFlow	0	WE	47	0	104371.24463519313	97274000	932
OneGeneFlow	0	WE	48	0	103192.02518363064	98342000	953
OneGeneFlow	0	WE	49	0	100722.16547497446	98607000	979
OneGeneFlow	1	EA	0	0	102474.09579667644	104831000	1023
OneGeneFlow	1	EA	1	0	104047.11538461539	108209000	1040
OneGeneFlow	1	EA	2	0	109263.6186770428	112323000	1028
OneGeneFlow	1	EA	3	0	110876.2278978389	112872000	1018
OneGeneFlow	1	EA	4	0	103382.97872340426	106898000	1034
OneGeneFlow	1	EA	5	0	102590.90909090909	106079000	1034
OneGeneFlow	1	EA	6	0	110509.375	106089000	960
OneGeneFlow	1	EA	7	0	97502.85714285714	102378000	1050
OneGeneFlow	1	EA	8	0	102202.97951582867	109766000	1074
OneGeneFlow	1	EA	9	0	100834.69387755102	98818000	980
OneGeneFlow	1	EA	10	0	103546.71968190855	104168000	1006
