scenario	iteration	time_WE	time_EA	shared	total_WE	total_EA	shared_WE	shared_EA	WE_EA_ratio
OneGeneFlow	0	0	0	300647000	636142000	640589000	0.47261	0.469329	0.993058
OneGeneFlow	1	0	0	308781000	651922000	659696000	0.473647	0.468066	0.988216
OneGeneFlow	2	0	0	311712000	642393000	645674000	0.485236	0.48277	0.994918
OneGeneFlow	3	0	0	323729000	677918000	662971000	0.477534	0.4883	1.02255
OneGeneFlow	4	0	0	352542000	708994000	723565000	0.497243	0.487229	0.979862
OneGeneFlow	5	0	0	295799000	635570000	624315000	0.465407	0.473798	1.01803
OneGeneFlow	6	0	0	336531000	678520000	698118000	0.495978	0.482055	0.971927
OneGeneFlow	7	0	0	313874000	665269000	669794000	0.4718	0.468613	0.993244
OneGeneFlow	8	0	0	294975000	632774000	635537000	0.466162	0.464135	0.995652
OneGeneFlow	9	0	0	337291000	710936000	700863000	0.474432	0.481251	1.01437
TwoGeneFlow	0	0	0	352538000	685511000	825041000	0.51427	0.427298	0.830881
TwoGeneFlow	1	0	0	339108000	651550000	791734000	0.520464	0.428311	0.822941
TwoGeneFlow	2	0	0	363530000	695020000	845852000	0.52305	0.42978	0.82168
TwoGeneFlow	3	0	0	326907000	636192000	779428000	0.51385	0.419419	0.816229
TwoGeneFlow	4	0	0	331938000	643808000	761995000	0.515585	0.435617	0.844898
TwoGeneFlow	5	0	0	326689000	647112000	776891000	0.504842	0.420508	0.832951
TwoGeneFlow	6	0	0	358385000	695969000	826090000	0.514944	0.433833	0.842486
TwoGeneFlow	7	0	0	335106000	673371000	789450000	0.497654	0.42448	0.852962
TwoGeneFlow	8	0	0	351886000	684230000	830066000	0.51428	0.423925	0.824308
TwoGeneFlow	9	0	0	369912000	698662000	830307000	0.529458	0.445512	0.84145
